Currency,Units per HKD,HKD per unit,Date
EUR,0.112277827,8.906478053,2022-02-09
GBP,0.094808847,10.54753888,2022-02-09
INR,9.603891899,0.104124454,2022-02-09
AUD,0.178717145,5.595434058,2022-02-09
CAD,0.162700558,6.146260414,2022-02-09
SGD,0.172189271,5.807562786,2022-02-09
CHF,0.118511135,8.438025671,2022-02-09
MXN,2.631555645,0.380003365,2022-02-09
PHP,6.580189702,0.151971303,2022-02-09
PLN,0.504512217,1.982112556,2022-02-09
PEN,0.492453387,2.030649046,2022-02-09
USD,0.12830967,7.793644886,2022-02-10
EUR,0.111689222,8.95341536,2022-02-10
GBP,0.094066867,10.63073563,2022-02-10
INR,9.636347322,0.103773761,2022-02-10
AUD,0.17706176,5.647746872,2022-02-10
CAD,0.162268201,6.162636896,2022-02-10
SGD,0.172046066,5.81239677,2022-02-10
CHF,0.118407375,8.445419916,2022-02-10
MXN,2.620907714,0.3815472,2022-02-10
PHP,6.57054746,0.15219432,2022-02-10
PLN,0.502511627,1.990003708,2022-02-10
PEN,0.486218701,2.056687654,2022-02-10
USD,0.12822716,7.798659812,2022-02-11
EUR,0.112440322,8.893606677,2022-02-11
GBP,0.094288834,10.60570972,2022-02-11
INR,9.663832864,0.103478611,2022-02-11
AUD,0.178644765,5.597701113,2022-02-11
CAD,0.162576864,6.150936709,2022-02-11
SGD,0.172305744,5.803637059,2022-02-11
CHF,0.118675263,8.426355903,2022-02-11
MXN,2.61710305,0.382101882,2022-02-11
PHP,6.570933531,0.152185378,2022-02-11
PLN,0.508980976,1.964709973,2022-02-11
PEN,0.478470049,2.089994981,2022-02-11
USD,0.128198023,7.80043232,2022-02-12
EUR,0.112950639,8.853424888,2022-02-12
GBP,0.094509924,10.58089942,2022-02-12
INR,9.672317273,0.103387841,2022-02-12
AUD,0.179746061,5.563404265,2022-02-12
CAD,0.163143006,6.129591603,2022-02-12
SGD,0.172718527,5.789766833,2022-02-12
CHF,0.118636558,8.429104957,2022-02-12
MXN,2.633562376,0.379713809,2022-02-12
PHP,6.573772628,0.152119651,2022-02-12
PLN,0.516042994,1.937823035,2022-02-12
PEN,0.480199729,2.082466815,2022-02-12
USD,0.128199123,7.800365368,2022-02-13
EUR,0.112938257,8.854395572,2022-02-13
GBP,0.094516961,10.5801117,2022-02-13
INR,9.65917096,0.103528554,2022-02-13
AUD,0.179556368,5.56928173,2022-02-13
CAD,0.163288435,6.124132427,2022-02-13
SGD,0.172768585,5.7880893,2022-02-13
CHF,0.118708863,8.423970811,2022-02-13
MXN,2.633407706,0.379736111,2022-02-13
PHP,6.573864644,0.152117522,2022-02-13
PLN,0.515745921,1.938939232,2022-02-13
PEN,0.480197838,2.082475013,2022-02-13
USD,0.128159176,7.802796709,2022-02-14
EUR,0.113359127,8.821521725,2022-02-14
GBP,0.094835464,10.5445786,2022-02-14
INR,9.695400872,0.103141687,2022-02-14
AUD,0.179827231,5.560893052,2022-02-14
CAD,0.163218446,6.126758501,2022-02-14
SGD,0.172708003,5.790119651,2022-02-14
CHF,0.118758345,8.420460912,2022-02-14
MXN,2.614882728,0.382426328,2022-02-14
PHP,6.579826233,0.151979697,2022-02-14
PLN,0.51472153,1.942798078,2022-02-14
PEN,0.483299037,2.069112335,2022-02-14
USD,0.12818259,7.801371481,2022-02-15
EUR,0.112796434,8.865528481,2022-02-15
GBP,0.09466975,10.56303629,2022-02-15
INR,9.643441835,0.103697416,2022-02-15
AUD,0.179262506,5.578411351,2022-02-15
CAD,0.16338995,6.120327469,2022-02-15
SGD,0.172352979,5.802046518,2022-02-15
CHF,0.118688646,8.425405717,2022-02-15
MXN,2.611212865,0.3829638,2022-02-15
PHP,6.574721072,0.152097707,2022-02-15
PLN,0.506965845,1.972519472,2022-02-15
PEN,0.487447091,2.051504703,2022-02-15
USD,0.12818708,7.801098206,2022-02-16
EUR,0.112639962,8.877843898,2022-02-16
GBP,0.094384508,10.59495913,2022-02-16
INR,9.6190846,0.103959996,2022-02-16
AUD,0.178509915,5.601929744,2022-02-16
CAD,0.162652183,6.148088403,2022-02-16
SGD,0.172226439,5.806309463,2022-02-16
CHF,0.118188065,8.461091224,2022-02-16
MXN,2.604150376,0.384002402,2022-02-16
PHP,6.579360128,0.151990464,2022-02-16
PLN,0.506840701,1.973006506,2022-02-16
PEN,0.483498453,2.068258946,2022-02-16
USD,0.128210022,7.799702285,2022-02-17
EUR,0.112820423,8.863643394,2022-02-17
GBP,0.094111055,10.62574424,2022-02-17
INR,9.622721982,0.1039207,2022-02-17
AUD,0.178218138,5.611101154,2022-02-17
CAD,0.162833343,6.141248339,2022-02-17
SGD,0.17220202,5.807132801,2022-02-17
CHF,0.117978513,8.476119743,2022-02-17
